i,x,y,PRECIP
0,-95.19808,29.570131,53.756687
1,-92.41189,30.011305,53.756687
2,-92.43795,30.107618,53.756687
3,-92.48494,30.19896,53.756687
4,-92.55252,30.284708,53.756687
5,-92.6403,30.366108,53.756687
6,-92.747604,30.441294,53.756687
7,-92.87345,30.509645,53.756687
8,-93.01708,30.571161,53.756687
9,-93.1773,30.62522,53.756687
10,-93.35279,30.67058,53.756687
11,-93.542404,30.707863,53.756687
12,-93.74467,30.736446,53.756687
13,-93.95793,30.756329,53.756687
14,-94.18063,30.766893,53.756687
15,-94.411125,30.768757,53.756687
16,-94.64751,30.76068,53.756687
17,-94.888214,30.744524,53.756687
18,-95.13114,30.719048,53.756687
19,-95.37466,30.684872,53.756687
20,-95.616806,30.641996,53.756687
21,-95.85585,30.591665,53.756687
22,-96.08975,30.532637,53.756687
23,-96.31699,30.46677,53.756687
24,-96.53562,30.393448,53.756687
25,-96.744125,30.314535,53.756687
26,-96.940865,30.230028,53.756687
27,-97.12427,30.139929,53.756687
28,-97.29307,30.046103,53.756687
29,-97.446,29.948547,53.756687
30,-97.58172,29.847885,53.756687
31,-97.69929,29.74536,53.756687
32,-97.797905,29.64159,53.756687
33,-97.87663,29.536577,53.756687
34,-97.93504,29.432188,53.756687
35,-97.97267,29.32904,53.756687
36,-97.989136,29.227757,53.756687
37,-97.984276,29.128958,53.756687
38,-97.95831,29.033268,53.756687
39,-97.91132,28.941925,53.756687
40,-97.84364,28.855555,53.756687
41,-97.75587,28.774155,53.756687
42,-97.64866,28.69959,53.756687
43,-97.52271,28.63062,53.756687
44,-97.37918,28.569725,53.756687
45,-97.21896,28.515665,53.756687
46,-97.04337,28.469683,53.756687
47,-96.85376,28.432402,53.756687
48,-96.651596,28.40444,53.756687
49,-96.43833,28.384556,53.756687
50,-96.21563,28.373993,53.756687
51,-95.98514,28.372128,53.756687
52,-95.74866,28.379585,53.756687
53,-95.50805,28.396362,53.756687
54,-95.26502,28.421217,53.756687
55,-95.02151,28.455393,53.756687
56,-94.77936,28.498266,53.756687
57,-94.54041,28.54922,53.756687
58,-94.30641,28.607628,53.756687
59,-94.07927,28.674114,53.756687
60,-93.860634,28.746815,53.756687
61,-93.65213,28.826351,53.756687
62,-93.4554,28.910856,53.756687
63,-93.2719,29.000334,53.756687
64,-93.103096,29.094162,53.756687
65,-92.950264,29.192339,53.756687
66,-92.814545,29.293001,53.756687
67,-92.69688,29.394905,53.756687
68,-92.59835,29.499296,53.756687
69,-92.51953,29.603685,53.756687
70,-92.46112,29.708076,53.756687
71,-92.423584,29.811224,53.756687
72,-92.40713,29.913128,53.756687
73,-90.79272,30.267931,51.659958
74,-90.833885,30.419546,51.659958
75,-90.908165,30.563704,51.659958
76,-91.01517,30.701027,51.659958
77,-91.15388,30.82841,51.659958
78,-91.32351,30.947712,51.659958
79,-91.52255,31.05583,51.659958
80,-91.749565,31.152763,51.659958
81,-92.00287,31.237892,51.659958
82,-92.2805,31.30997,51.659958
83,-92.580284,31.369001,51.659958
84,-92.89996,31.41374,51.659958
85,-93.23722,31.44543,51.659958
86,-93.58939,31.462828,51.659958
87,-93.9537,31.464693,51.659958
88,-94.327614,31.453508,51.659958
89,-94.70808,31.426788,51.659958
90,-95.092316,31.387022,51.659958
91,-95.47733,31.332962,51.659958
92,-95.86022,31.265232,51.659958
93,-96.23804,31.184454,51.659958
94,-96.608,31.09187,51.659958
95,-96.96714,30.98748,51.659958
96,-97.312965,30.872526,51.659958
97,-97.642586,30.747631,51.659958
98,-97.95359,30.613415,51.659958
99,-98.243706,30.47174,51.659958
100,-98.51063,30.323235,51.659958
101,-98.75228,30.168512,51.659958
102,-98.96689,30.009441,51.659958
103,-99.15286,29.847263,51.659958
104,-99.30874,29.6826,51.659958
105,-99.43325,29.516693,51.659958
106,-99.52568,29.352652,51.659958
107,-99.58504,29.189232,51.659958
108,-99.611084,29.028917,51.659958
109,-99.60345,28.872332,51.659958
110,-99.56237,28.721338,51.659958
111,-99.4881,28.57718,51.659958
112,-99.38109,28.439857,51.659958
113,-99.24229,28.311855,51.659958
114,-99.072754,28.193172,51.659958
115,-98.87371,28.085054,51.659958
116,-98.6466,27.9875,51.659958
117,-98.39339,27.902992,51.659958
118,-98.11576,27.830914,51.659958
119,-97.81598,27.771883,51.659958
120,-97.4962,27.726524,51.659958
121,-97.15904,27.695456,51.659958
122,-96.80687,27.678057,51.659958
123,-96.44247,27.675571,51.659958
124,-96.06865,27.687378,51.659958
125,-95.68819,27.714096,51.659958
126,-95.30395,27.753864,51.659958
127,-94.91892,27.807922,51.659958
128,-94.53604,27.875652,51.659958
129,-94.15822,27.95643,51.659958
130,-93.78826,28.049015,51.659958
131,-93.42902,28.152784,51.659958
132,-93.0833,28.26836,51.659958
133,-92.75368,28.393255,51.659958
134,-92.44257,28.52685,51.659958
135,-92.15255,28.669144,51.659958
136,-91.885635,28.817652,51.659958
137,-91.64398,28.972372,51.659958
138,-91.429276,29.130823,51.659958
139,-91.24339,29.293621,51.659958
140,-91.087524,29.458284,51.659958
141,-90.96291,29.62357,51.659958
142,-90.87058,29.788233,51.659958
143,-90.811226,29.951654,51.659958
144,-90.78517,30.111967,51.659958
145,-88.96796,30.557491,49.574543
146,-89.026085,30.77062,49.574543
147,-89.13116,30.975052,49.574543
148,-89.28243,31.168299,49.574543
149,-89.47874,31.35036,49.574543
150,-89.71852,31.518131,49.574543
151,-90.000114,31.67161,49.574543
152,-90.32112,31.808311,49.574543
153,-90.679306,31.928236,49.574543
154,-91.071976,32.03076,49.574543
155,-91.495926,32.114025,49.574543
156,-91.94813,32.17803,49.574543
157,-92.42499,32.222145,49.574543
158,-92.923035,32.246376,49.574543
159,-93.43829,32.249485,49.574543
160,-93.96706,32.23333,49.574543
161,-94.505066,32.196045,49.574543
162,-95.0485,32.139503,49.574543
163,-95.59295,32.06245,49.574543
164,-96.134476,31.967382,49.574543
165,-96.66877,31.85305,49.574543
166,-97.192,31.72256,49.574543
167,-97.69995,31.574675,49.574543
168,-98.188965,31.411877,49.574543
169,-98.65511,31.234785,49.574543
170,-99.09503,31.045889,49.574543
171,-99.50522,30.845186,49.574543
172,-99.8827,30.63454,49.574543
173,-100.22441,30.415817,49.574543
174,-100.527954,30.190882,49.574543
175,-100.79101,29.961596,49.574543
176,-101.011345,29.728582,49.574543
177,-101.18754,29.494946,49.574543
178,-101.318115,29.261932,49.574543
179,-101.40211,29.03078,49.574543
180,-101.43892,28.803982,49.574543
181,-101.42821,28.582773,49.574543
182,-101.37008,28.369642,49.574543
183,-101.26501,28.16521,49.574543
184,-101.11373,27.971966,49.574543
185,-100.91753,27.790525,49.574543
186,-100.67764,27.622133,49.574543
187,-100.39614,27.469276,49.574543
188,-100.07504,27.331953,49.574543
189,-99.71686,27.212029,49.574543
190,-99.32429,27.110123,49.574543
191,-98.90033,27.02686,49.574543
192,-98.448135,26.962858,49.574543
193,-97.971275,26.918741,49.574543
194,-97.47323,26.894508,49.574543
195,-96.95796,26.891401,49.574543
196,-96.42921,26.907557,49.574543
197,-95.8911,26.944218,49.574543
198,-95.34776,27.001383,49.574543
199,-94.803314,27.078434,49.574543
200,-94.26178,27.173504,49.574543
201,-93.727394,27.287214,49.574543
202,-93.20426,27.418324,49.574543
203,-92.69631,27.56621,49.574543
204,-92.2073,27.72901,49.574543
205,-91.74115,27.9061,49.574543
206,-91.30123,28.094997,49.574543
207,-90.89104,28.2957,49.574543
208,-90.513565,28.506344,49.574543
209,-90.17175,28.724445,49.574543
210,-89.86821,28.949383,49.574543
211,-89.605255,29.179289,49.574543
212,-89.38482,29.411682,49.574543
213,-89.20872,29.645939,49.574543
214,-89.07805,29.878332,49.574543
215,-88.99406,30.109482,49.574543
216,-88.957245,30.336283,49.574543
217,-86.38736,30.966352,47.573406
218,-86.4696,31.26834,47.573406
219,-86.61825,31.557278,47.573406
220,-86.83216,31.831303,47.573406
221,-87.10967,32.087307,47.573406
222,-87.44884,32.32467,47.573406
223,-87.84702,32.54153,47.573406
224,-88.30104,32.735397,47.573406
225,-88.80766,32.90503,47.573406
226,-89.36282,33.04919,47.573406
227,-89.96239,33.16725,47.573406
228,-90.601845,33.25797,47.573406
229,-91.27636,33.32073,47.573406
230,-91.980606,33.354282,47.573406
231,-92.709404,33.359875,47.573406
232,-93.457054,33.33564,47.573406
233,-94.21806,33.283447,47.573406
234,-94.98645,33.202667,47.573406
